,title,type,link
531,When My Baby Left Me / It's True I'm Blue,Single,https://rateyourmusic.com/release/single/sid_king_and_the_five_strings/when_my_baby_left_me___its_true_im_blue/
532,Matchbox / Your True Love,Single,https://rateyourmusic.com/release/single/carl-perkins/matchbox-your-true-love/
533,Baby Loves Him / Cryin' Thru the Night,Single,https://rateyourmusic.com/release/single/wanda-jackson/baby-loves-him-cryin-thru-the-night/
534,Heart Throb / I Wancha to Know,Single,https://rateyourmusic.com/release/single/ric-cartey/heart-throb-i-wancha-to-know/
535,I'm Walkin' / I'm in the Mood for Love,Single,https://rateyourmusic.com/release/single/fats-domino/im-walkin-im-in-the-mood-for-love/
536,Rakin and Scrapin / On My Mind Again,Single,https://rateyourmusic.com/release/single/dean_beard/rakin_and_scrapin___on_my_mind_again/
537,Butterfly / Ninety Nine Ways,Single,https://rateyourmusic.com/release/single/charlie-gracie/butterfly-ninety-nine-ways-1/
538,Bye Bye Love / I Wonder If I Care as Much,Single,https://rateyourmusic.com/release/single/the-everly-brothers/bye-bye-love-i-wonder-if-i-care-as-much/
539,School Day (Ring! Ring! Goes the Bell) / Deep Feeling,Single,https://rateyourmusic.com/release/single/chuck-berry/school-day-ring-ring-goes-the-bell-deep-feeling/
540,Just Because / Why,Single,https://rateyourmusic.com/release/single/lloyd-price/just-because-why/
541,"Rip It Up / Baby, Let's Play House",Single,https://rateyourmusic.com/release/single/elvis-presley/rip-it-up-baby-lets-play-house/
542,I Love the Braves / Hey Roc,Single,https://rateyourmusic.com/release/single/jimmy-maddin-with-orchestra/i-love-the-braves-hey-roc/
543,Two Long Years / Love Me to Pieces,Single,https://rateyourmusic.com/release/single/janis-martin/two-long-years-love-me-to-pieces/
544,Jungle Hop / A Little Love,Single,https://rateyourmusic.com/release/single/don-and-dewey/jungle-hop-a-little-love/
545,Silent Lips / Pretty Pretty,Single,https://rateyourmusic.com/release/single/georgia_gibbs/silent_lips___pretty_pretty/
